print_file_name_and_frills,0 22910,0 308,1722008291 265320,0 1350
indent,0 23252,0 20,1722008291 266758,0 68
fileinfo_name_width,0 23319,0 22,1722008291 266988,0 77
length_of_file_name_and_frills,0 23295,0 66,1722008291 266907,0 237
set_normal_color,0 23403,0 24,1722008291 267288,0 82
get_quoting_style,0 23520,0 27,1722008291 267682,0 84
quote_name_buf,0 23492,0 78,1722008291 267597,0 254
quote_name,0 23469,0 120,1722008291 267516,0 406
process_signals,0 23612,0 21,1722008291 267997,0 77
print_name_with_quoting,0 23449,0 206,1722008291 267442,0 707
print_file_name_and_frills,0 23382,0 293,1722008291 267213,0 1010
indent,0 23698,0 21,1722008291 268296,0 82
fileinfo_name_width,0 23761,0 21,1722008291 268527,0 73
length_of_file_name_and_frills,0 23739,0 62,1722008291 268453,0 219
set_normal_color,0 23842,0 23,1722008291 268819,0 79
get_quoting_style,0 23953,0 24,1722008291 269203,0 77
quote_name_buf,0 23930,0 68,1722008291 269128,0 228
quote_name,0 23910,0 109,1722008291 269053,0 379
process_signals,0 24040,0 20,1722008291 269501,0 74
print_name_with_quoting,0 23888,0 196,1722008291 268978,0 677
print_file_name_and_frills,0 23821,0 282,1722008291 268743,0 984
indent,0 24125,0 19,1722008291 269800,0 72
fileinfo_name_width,0 24190,0 20,1722008291 270026,0 75
length_of_file_name_and_frills,0 24168,0 65,1722008291 269953,0 223
set_normal_color,0 24275,0 20,1722008291 270332,0 80
get_quoting_style,0 24385,0 27,1722008291 270719,0 90
quote_name_buf,0 24357,0 77,1722008291 270633,0 250
quote_name,0 24337,0 117,1722008291 270560,0 396
process_signals,0 24476,0 21,1722008291 271033,0 72
print_name_with_quoting,0 24316,0 204,1722008291 270487,0 693
print_file_name_and_frills,0 24254,0 286,1722008291 270250,0 1003
indent,0 24560,0 20,1722008291 271326,0 72
fileinfo_name_width,0 24622,0 23,1722008291 271544,0 75
length_of_file_name_and_frills,0 24602,0 63,1722008291 271471,0 221
set_normal_color,0 24707,0 22,1722008291 271844,0 74
get_quoting_style,0 24820,0 24,1722008291 272227,0 76
quote_name_buf,0 24792,0 73,1722008291 272139,0 238
quote_name,0 24772,0 116,1722008291 272066,0 391
process_signals,0 24910,0 22,1722008291 272530,0 74
print_name_with_quoting,0 24749,0 204,1722008291 271990,0 686
print_file_name_and_frills,0 24686,0 287,1722008291 271771,0 978
indent,0 24994,0 20,1722008291 272822,0 72
fileinfo_name_width,0 25057,0 24,1722008291 273041,0 81
